"","AIC","BIC"
"Exponential",1177.74305036962,1181.45016063437
"Weibull (AFT)",1153.65952102285,1161.07374155234
"Gompertz",1125.5161203212,1132.9303408507
"Gen. Gamma",1132.6348042715,1143.75613506574
"log-Logistic",1139.55688850853,1146.97110903803
"log-Normal",1133.70576916276,1141.11998969226
