"","AIC","BIC"
"Exponential",1024.47710155929,1028.06059786808
"Weibull (AFT)",984.318721430443,991.485714048006
"Gompertz",971.931453108339,979.098445725902
"Gen. Gamma",980.463106598595,991.213595524941
"log-Logistic",977.887517941847,985.05451055941
"log-Normal",978.773224424879,985.940217042442
