"","AIC","BIC"
"Exponential",936.299683032926,939.927304146617
"Weibull (AFT)",936.791464518704,944.046706746085
"Gompertz",938.060426688773,945.315668916154
"Gen. Gamma",922.865103057173,933.747966398245
"log-Logistic",931.266027967004,938.521270194385
"log-Normal",924.794211831341,932.049454058722
"1-knot spline hazard",925.002001974859,935.884865315931
"1-knot spline odds",924.958074745115,935.840938086186
"1-knot spline normal",923.520301591009,934.403164932081
